Listing ID,Bedrooms,Bathrooms,Lot Size,House Size,Property Type,Price,Country,Source
l_138716322,2 Beds,2 Baths,,"('1,237.85 Sqft', ' sqft')",Residential,"269,000 ",Costa Rica,point2homes
l_114420873,3 Beds,3 Baths,,"('1,700 Sqft', ' sqft')",Residential,"296,500 ",Costa Rica,point2homes
l_145396796,2 Beds,2 Baths,,"('1,722.23 Sqft', ' sqft')",Residential,"238,000 ",Costa Rica,point2homes
l_158292839,3 Beds,2 Baths,0.118 ac Lot Size,"('1,240 Sqft', ' sqft')",Residential,"499,000 ",Costa Rica,point2homes
l_159016343,3 Beds,2 Baths,0.271 ac Lot Size,"('1,076 Sqft', ' sqft')",Residential,"448,000 ",Costa Rica,point2homes
l_140447948,4 Beds,4 Baths,1.445 ac Lot Size,"('4,413.2 Sqft', ' sqft')",Residential,"1,070,000 ",Costa Rica,point2homes
l_160653746,,,0.55 ac Lot Size,,Residential,"295,000 ",Costa Rica,point2homes
l_135938811,2 Beds,2 Baths,1.243 ac Lot Size,"('2,185.07 Sqft', ' sqft')",Residential,"469,000 ",Costa Rica,point2homes
l_153800936,3 Beds,3 Baths,,"('2,357.29 Sqft', ' sqft')",Condominium,"798,999 ",Costa Rica,point2homes
l_160867626,7 Beds,8 Baths,2.142 ac Lot Size,"('3,336.81 Sqft', ' sqft')",Residential,"899,990 ",Costa Rica,point2homes
l_134744887,3 Beds,3 Baths,0.407 ac Lot Size,"('4,024 Sqft', ' sqft')",Residential,"725,000 ",Costa Rica,point2homes
l_159465996,6 Beds,4 Baths,0.247 ac Lot Size,"('4,187.16 Sqft', ' sqft')",Residential,"599,990 ",Costa Rica,point2homes
l_155018569,4 Beds,4 Baths,0.578 ac Lot Size,"('4,305.56 Sqft', ' sqft')",Residential,"2,850,000 ",Costa Rica,point2homes
l_160079408,3 Beds,3 Baths,,"('2,798.62 Sqft', ' sqft')",Residential,"1,200,000 ",Costa Rica,point2homes
l_133968190,,,3.074 ac Lot Size,,Lots and Land,"230,000  40",Costa Rica,point2homes
l_160756552,4 Beds,4 Baths,,"('3,000 Sqft', ' sqft')",Condominium,"1,150,000 ",Costa Rica,point2homes
l_155472010,5 Beds,3 Baths,0.303 ac Lot Size,"('8,342.03 Sqft', ' sqft')",Residential,"3,375,000 ",Costa Rica,point2homes
l_160373865,3 Beds,3 Baths,567 ac Lot Size,"('6,103.14 Sqft', ' sqft')",Recreational,"285,000 ",Costa Rica,point2homes
l_152772834,5 Beds,6 Baths,,"('5,100 Sqft', ' sqft')",Residential,"1,699,000  251",Costa Rica,point2homes
l_146000658,4 Beds,3 Baths,0.084 ac Lot Size,"('1,851.39 Sqft', ' sqft')",Residential,"595,000 ",Costa Rica,point2homes
l_141216838,,,,,Residential,"495,000 ",Costa Rica,point2homes
l_152592881,3 Beds,2 Baths,0.247 ac Lot Size,"('2,325 Sqft', ' sqft')",Residential,"295,000 ",Costa Rica,point2homes
l_159896216,5 Beds,5 Baths,0.111 ac Lot Size,"('4,768.39 Sqft', ' sqft')",Residential,"3,650,000 ",Costa Rica,point2homes
l_110577973,,,1.302 ac Lot Size,,Lots And Land,"130,000 ",Costa Rica,point2homes
l_143731169,2 Beds,2 Baths,,"('1,978 Sqft', ' sqft')",Condominium,"1,200,000 ",Costa Rica,point2homes
l_157180507,,,1.34 ac Lot Size,,Lots and Land,"395,000 ",Costa Rica,point2homes
l_159467233,,,1.754 ac Lot Size,"('3,121.53 Sqft', ' sqft')",Residential,"775,000 ",Costa Rica,point2homes
l_159854390,3 Beds,3 Baths,,"('1,679.17 Sqft', ' sqft')",Residential,"889,000 ",Costa Rica,point2homes
l_154756122,2 Beds,2 Baths,0.032 ac Lot Size,"('1,377.78 Sqft', ' sqft')",Residential,"380,000 ",Costa Rica,point2homes
l_160373674,3 Beds,2 Baths,,"('188 Sqft', ' sqft')",Condominium,"275,000 ",Costa Rica,point2homes
l_156436283,3 Beds,3 Baths,,"('4,650.01 Sqft', ' sqft')",Residential,"1,499,000  191",Costa Rica,point2homes
l_158576023,3 Beds,4 Baths,,"('2,476 Sqft', ' sqft')",Residential,"495,000 ",Costa Rica,point2homes
l_158719566,3 Beds,2 Baths,,,Residential,"829,000 ",Costa Rica,point2homes
l_158916315,4 Beds,3 Baths,,"('3,132 Sqft', ' sqft')",Condominium,"1,300,000 ",Costa Rica,point2homes
l_160802380,3 Beds,3 Baths,0.49 ac Lot Size,"('3,627 Sqft', ' sqft')",Residential,"949,000 ",Costa Rica,point2homes
l_155790668,1 Bed,1 Bath,,"('1,168 Sqft', ' sqft')",Condominium,"335,000 ",Costa Rica,point2homes
l_155850784,3 Beds,3 Baths,1.68 ac Lot Size,"('3,229 Sqft', ' sqft')",Residential,"559,000 ",Costa Rica,point2homes
